################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.0394824863350226E-01 a       293     0    10     1    23
  1.5914601446691861E-02 a       294     0    10     1    24
 -1.6643166962154987E+00 a       295     0    10     1    25
  1.0160264313839871E+00 a       296     0    10     1    26
  6.7194943005558716E-01 a       297     0    10     1    27
  1.1570954808708396E+00 a       298     0    10     1    28
  7.1457860517678695E-01 a       299     0    10     1    29
 -1.3316171942880398E-01 a       300     0    10     1    30
 -5.3009256933382976E-01 a       301     0    11     1     1
 -2.5360010799883748E-01 a       302     0    11     1     2
  4.2464657213013435E-01 a       303     0    11     1     3
 -1.2177692882875597E+00 a       304     0    11     1     4
  4.7358296139508801E-02 a       305     0    11     1     5
 -6.1282421621347205E-01 a       306     0    11     1     6
  1.3649506453298643E-01 a       307     0    11     1     7
  2.3867962107163990E-01 a       308     0    11     1     8
  9.8914750755982572E-01 a       309     0    11     1     9
 -4.8127158722200736E-01 a       310     0    11     1    10
 -8.7397126329744793E-02 a       311     0    11     1    11
  4.3160919655556595E-01 a       312     0    11     1    12
 -2.0708340595846966E-01 a       313     0    11     1    13
 -1.2335505257143005E-01 a       314     0    11     1    14
  2.3314887297092229E-01 a       315     0    11     1    15
  2.3258479523913261E-01 a       316     0    11     1    16
 -2.6644672261874014E-01 a       317     0    11     1    17
 -1.5147794987573457E-01 a       318     0    11     1    18
  6.6842481245501828E-01 a       319     0    11     1    19
 -5.2193857477719374E-01 a       320     0    11     1    20
  4.7066816525988001E-02 a       321     0    11     1    21
 -3.9525919386617603E-01 a       322     0    11     1    22
 -1.8779161569557662E-01 a       323     0    11     1    23
  4.9090326461713470E-02 a       324     0    11     1    24
  3.8105195080836785E-01 a       325     0    11     1    25
 -2.1490041439634561E-01 a       326     0    11     1    26
  2.3876583801374768E-01 a       327     0    11     1    27
  8.1086818101698044E-02 a       328     0    11     1    28
 -2.0774369598028922E-01 a       329     0    11     1    29
 -7.0250615241612663E-02 a       330     0    11     1    30
  4.9959319395607042E-02 a       331     0    12     1     1
  4.2940215478774085E-01 a       332     0    12     1     2
  4.2766877255900626E-01 a       333     0    12     1     3
  1.2061418111318694E+00 a       334     0    12     1     4
  4.5720631967352382E-01 a       335     0    12     1     5
 -3.5570905062539765E-01 a       336     0    12     1     6
  7.4170651588899772E-01 a       337     0    12     1     7
  3.0435111266638049E-01 a       338     0    12     1     8
 -4.7771950633076474E-02 a       339     0    12     1     9
  1.2359857171787039E+00 a       340     0    12     1    10
 -9.0494982096943755E-01 a       341     0    12     1    11
 -1.2576363770705070E+00 a       342     0    12     1    12
  7.3031080435915366E-03 a       343     0    12     1    13
  4.3176409355971707E-01 a       344     0    12     1    14
 -1.5894230029728129E-03 a       345     0    12     1    15
  7.3239662900250224E-01 a       346     0    12     1    16
  3.5624717447554466E-01 a       347     0    12     1    17
  3.7740069951078004E-01 a       348     0    12     1    18
  3.6124884143987387E-02 a       349     0    12     1    19
 -6.7785746930551594E-01 a       350     0    12     1    20
 -3.7477108126987174E-01 a       351     0    12     1    21
  4.6646213334345460E-01 a       352     0    12     1    22
  1.3373629015565927E+00 a       353     0    12     1    23
  2.4463522115602146E-01 a       354     0    12     1    24
  1.1433886844821548E+00 a       355     0    12     1    25
 -1.2904360989067090E+00 a       356     0    12     1    26
 -1.1210630492977045E+00 a       357     0    12     1    27
 -1.1245313046567038E+00 a       358     0    12     1    28
  7.3609077732773545E-02 a       359     0    12     1    29
 -4.8027384534958428E-01 a       360     0    12     1    30
  7.2424911780577264E-02 a       361     0    13     1     1
 -5.7624603107974640E-02 a       362     0    13     1     2
  1.4806961034173804E+00 a       363     0    13     1     3
 -4.5075099683079234E-01 a       364     0    13     1     4
 -6.0283599935587051E-01 a       365     0    13     1     5
  1.0542701663624834E-01 a       366     0    13     1     6
 -9.6812855118284258E-01 a       367     0    13     1     7
  2.7736924880986580E-01 a       368     0    13     1     8
 -1.1999298566899644E-01 a       369     0    13     1     9
 -1.3443415352419721E-01 a       370     0    13     1    10
  2.5277938380320364E-01 a       371     0    13     1    11
 -4.8010510549198337E-01 a       372     0    13     1    12
 -1.0974441128261052E+00 a       373     0    13     1    13
  1.1262832246428991E+00 a       374     0    13     1    14
  1.3220155192393235E+00 a       375     0    13     1    15
 -1.0641315029847942E+00 a       376     0    13     1    16
  2.6634502886996381E-01 a       377     0    13     1    17
 -3.5443147201049907E-01 a       378     0    13     1    18
  1.1957731106119982E+00 a       379     0    13     1    19
  8.6227692875223039E-01 a       380     0    13     1    20
  3.9586570041709718E-01 a       381     0    13     1    21
  1.6879100800126809E+00 a       382     0    13     1    22
  7.1020846375676039E-01 a       383     0    13     1    23
 -7.2851319386951885E-01 a       384     0    13     1    24
  5.9784137149196559E-01 a       385     0    13     1    25
 -4.3123488272051669E-01 a       386     0    13     1    26
  3.3706052072023995E-01 a       387     0    13     1    27
  4.4568460535485033E-01 a       388     0    13     1    28
  4.3447526851916146E-01 a       389     0    13     1    29
 -1.9146750253293487E-01 a       390     0    13     1    30
 -1.3181443436270587E-01 a       391     0    14     1     1
 -3.1558760542113790E-02 a       392     0    14     1     2
 -7.7432228423102545E-01 a       393     0    14     1     3
 -4.9135968628962762E-01 a       394     0    14     1     4
  1.1853792990287759E-01 a       395     0    14     1     5
 -3.9604419493448745E-01 a       396     0    14     1     6
 -8.0557337979884891E-01 a       397     0    14     1     7
  5.6547402756549880E-01 a       398     0    14     1     8
  4.1418463634427310E-01 a       399     0    14     1     9
 -1.8626725740966854E-01 a       400     0    14     1    10
 -3.1034901728681757E-02 a       401     0    14     1    11
  8.2671338551056628E-01 a       402     0    14     1    12
  6.0956948266003608E-01 a       403     0    14     1    13
 -6.6068797447137728E-02 a       404     0    14     1    14
 -1.7454184010913498E-01 a       405     0    14     1    15
  4.2755413472839948E-01 a       406     0    14     1    16
 -2.8256001376355716E-01 a       407     0    14     1    17
  1.5795982987862028E-01 a       408     0    14     1    18
 -5.4990537764909553E-01 a       409     0    14     1    19
 -7.6097367750126788E-01 a       410     0    14     1    20
 -5.3534590393391368E-01 a       411     0    14     1    21
  2.5674010207134928E-02 a       412     0    14     1    22
  9.5513401480332785E-03 a       413     0    14     1    23
  1.8689587373278604E-01 a       414     0    14     1    24
 -3.4202401205275818E-01 a       415     0    14     1    25
  5.4700904057487898E-01 a       416     0    14     1    26
 -8.6217177984555401E-02 a       417     0    14     1    27
  1.3019199573875064E+00 a       418     0    14     1    28
 -2.3102000937519171E-01 a       419     0    14     1    29
 -1.1192291333148130E+00 a       420     0    14     1    30
  1.0330473910589846E-01 a       421     0    15     1     1
  3.1157676559782144E-01 a       422     0    15     1     2
  3.2445605378757209E-01 a       423     0    15     1     3
  1.5866036514836686E+00 a       424     0    15     1     4
 -7.1665923009432453E-01 a       425     0    15     1     5
  5.5204356181642311E-01 a       426     0    15     1     6
  4.7814027419181304E-01 a       427     0    15     1     7
  1.5827804890953467E-01 a       428     0    15     1     8
 -6.3356690044909708E-02 a       429     0    15     1     9
 -1.3020880144219302E-01 a       430     0    15     1    10
  1.8168145052217480E-01 a       431     0    15     1    11
 -2.9156198452614912E-01 a       432     0    15     1    12
 -3.8471179312005238E-01 a       433     0    15     1    13
 -2.2843382676954882E-01 a       434     0    15     1    14
 -2.4074171338587144E-01 a       435     0    15     1    15
  9.2202678976533337E-04 a       436     0    15     1    16
 -4.3571977878071888E-01 a       437     0    15     1    17
 -2.6914106252763287E-01 a       438     0    15     1    18
 -4.5418822235593564E-01 a       439     0    15     1    19
  7.4019413442788939E-01 a       440     0    15     1    20
  5.1861748558445031E-01 a       441     0    15     1    21
 -9.2193281869823451E-03 a       442     0    15     1    22
  2.8549119207656232E-01 a       443     0    15     1    23
  3.3266648567694801E-01 a       444     0    15     1    24
  4.5353880446620337E-01 a       445     0    15     1    25
  6.9289325942202079E-02 a       446     0    15     1    26
  1.1941450453331325E-01 a       447     0    15     1    27
 -9.3922210588710542E-01 a       448     0    15     1    28
 -6.1644267008044129E-01 a       449     0    15     1    29
  2.2343287585751778E-01 a       450     0    15     1    30
 -4.4953840005023293E-01 a       451     0    16     1     1
 -1.2865058585997716E-01 a       452     0    16     1     2
  8.9855491185282066E-01 a       453     0    16     1     3
 -1.5886303250160794E+00 a       454     0    16     1     4
 -3.8102368143775323E-01 a       455     0    16     1     5
  3.0932936215707707E-01 a       456     0    16     1     6
 -1.4608717030032989E+00 a       457     0    16     1     7
 -2.6132406587391954E-01 a       458     0    16     1     8
  4.9689714281913522E-01 a       459     0    16     1     9
  1.2410860556940002E-01 a       460     0    16     1    10
  1.8571930960409075E+00 a       461     0    16     1    11
  8.3290788078670963E-01 a       462     0    16     1    12
  8.2639194398650903E-03 a       463     0    16     1    13
  7.4347794157833957E-01 a       464     0    16     1    14
  1.1275760527464123E+00 a       465     0    16     1    15
 -1.9587358304537257E+00 a       466     0    16     1    16
  1.0709737225007863E+00 a       467     0    16     1    17
 -1.2817171962164093E+00 a       468     0    16     1    18
  2.5782534091952825E-01 a       469     0    16     1    19
  7.8621243221030312E-01 a       470     0    16     1    20
  1.1521354910867515E-01 a       471     0    16     1    21
  1.2379036120213263E+00 a       472     0    16     1    22
  5.8387648422040772E-01 a       473     0    16     1    23
 -8.1799571869755916E-01 a       474     0    16     1    24
  5.4495917656874637E-01 a       475     0    16     1    25
  1.9269895603852891E-01 a       476     0    16     1    26
  8.6946847764534940E-01 a       477     0    16     1    27
  1.4223854088920214E+00 a       478     0    16     1    28
 -3.7769500753390151E-01 a       479     0    16     1    29
  3.1174353928875403E-01 a       480     0    16     1    30
  1.2230395446803217E-01 a       481     0    17     1     1
 -1.2207718921981632E-01 a       482     0    17     1     2
 -1.4562804577198958E+00 a       483     0    17     1     3
 -5.3654108956119648E-02 a       484     0    17     1     4
  5.2307578420368439E-01 a       485     0    17     1     5
  2.1289637212981816E-02 a       486     0    17     1     6
  1.7650939520440492E+00 a       487     0    17     1     7
  7.4627639442472316E-01 a       488     0    17     1     8
 -1.6332293733912218E+00 a       489     0    17     1     9
 -4.9898539057765201E-01 a       490     0    17     1    10
 -1.5142096191078500E+00 a       491     0    17     1    11
 -2.0195149091763354E-01 a       492     0    17     1    12
  1.0025010592572750E+00 a       493     0    17     1    13
