################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.9787197202172727E-01 a       250     0     9     1    10
 -1.8764888327688176E-01 a       251     0     9     1    11
 -1.1180976350162883E-01 a       252     0     9     1    12
  2.1059703926020468E-01 a       253     0     9     1    13
 -6.1275862249302659E-01 a       254     0     9     1    14
  3.6289193088992489E-01 a       255     0     9     1    15
 -3.3012236994935118E-01 a       256     0     9     1    16
 -1.7341503541109035E-01 a       257     0     9     1    17
 -1.4577627346503825E-02 a       258     0     9     1    18
 -2.4146449032034153E-02 a       259     0     9     1    19
  2.4221428749790372E-01 a       260     0     9     1    20
 -4.5893015996288739E-01 a       261     0     9     1    21
 -1.9478838273423790E-01 a       262     0     9     1    22
  1.1822936807037394E-01 a       263     0     9     1    23
 -1.7565721722098449E-01 a       264     0     9     1    24
  2.3013332326533473E-01 a       265     0     9     1    25
  8.2788397034258676E-01 a       266     0     9     1    26
 -6.4277363340680363E-02 a       267     0     9     1    27
  8.8953769445063613E-02 a       268     0     9     1    28
 -1.9517073553714614E-01 a       269     0     9     1    29
 -3.0471091260931869E-02 a       270     0     9     1    30
 -2.9801858019250105E-01 a       271     0    10     1     1
 -1.1404888766852063E-01 a       272     0    10     1     2
 -2.8438282780455887E-01 a       273     0    10     1     3
  1.0357744944811505E-01 a       274     0    10     1     4
 -2.4567261612115976E-01 a       275     0    10     1     5
  1.0189736281098469E-01 a       276     0    10     1     6
  2.9054568694705724E-01 a       277     0    10     1     7
 -1.0112164481186829E-01 a       278     0    10     1     8
 -1.2199411724018568E-01 a       279     0    10     1     9
  9.1898719526118684E-03 a       280     0    10     1    10
 -4.0549466551640057E-01 a       281     0    10     1    11
  1.2640714547585136E-01 a       282     0    10     1    12
  9.6322279353397901E-03 a       283     0    10     1    13
 -2.1495932200399437E-01 a       284     0    10     1    14
  3.3239141503831471E-01 a       285     0    10     1    15
 -7.6631092736359999E-02 a       286     0    10     1    16
 -4.0120700192124809E-01 a       287     0    10     1    17
 -1.6149322915978584E-01 a       288     0    10     1    18
  2.2723586233158360E-01 a       289     0    10     1    19
  1.0854919638836651E-02 a       290     0    10     1    20
 -7.2569409739898741E-02 a       291     0    10     1    21
 -1.3845568800502489E-01 a       292     0    10     1    22
  4.1424781924121373E-01 a       293     0    10     1    23
 -1.6899849482525828E-01 a       294     0    10     1    24
 -1.7999240812066217E-01 a       295     0    10     1    25
  8.3643401231212888E-03 a       296     0    10     1    26
 -2.2844903374021930E-01 a       297     0    10     1    27
  3.2683230528431179E-01 a       298     0    10     1    28
 -6.6892500527609457E-03 a       299     0    10     1    29
 -9.3307503846352148E-03 a       300     0    10     1    30
  2.1186342384993706E-01 a       301     0    11     1     1
  4.5260459384459589E-01 a       302     0    11     1     2
  9.5034630551670427E-02 a       303     0    11     1     3
  2.2015664885024003E-02 a       304     0    11     1     4
 -5.2187162030750944E-01 a       305     0    11     1     5
  3.5760745923199883E-01 a       306     0    11     1     6
 -1.5188765362505975E-02 a       307     0    11     1     7
  4.9879967167003814E-01 a       308     0    11     1     8
 -4.4578578916161088E-01 a       309     0    11     1     9
 -2.3852395331070753E-01 a       310     0    11     1    10
 -2.9951205762529076E-01 a       311     0    11     1    11
  1.3098830623207844E-02 a       312     0    11     1    12
  7.5865724596742595E-02 a       313     0    11     1    13
  1.3045772291863314E-01 a       314     0    11     1    14
 -5.0074859548707544E-02 a       315     0    11     1    15
  2.9240786875649033E-01 a       316     0    11     1    16
 -1.6008426066838003E-02 a       317     0    11     1    17
  3.1729215671494682E-01 a       318     0    11     1    18
  4.6973276854712964E-01 a       319     0    11     1    19
  8.2575265090447762E-03 a       320     0    11     1    20
  4.0987017357733624E-01 a       321     0    11     1    21
  1.4178119870687242E-01 a       322     0    11     1    22
 -6.9451590610924971E-02 a       323     0    11     1    23
 -3.8269376779577186E-01 a       324     0    11     1    24
 -3.2567551734303374E-01 a       325     0    11     1    25
  1.4274256406929543E-02 a       326     0    11     1    26
  2.7444438349230588E-01 a       327     0    11     1    27
 -1.3015170475143656E-01 a       328     0    11     1    28
  1.2157898139974560E-01 a       329     0    11     1    29
  2.3240669715958834E-01 a       330     0    11     1    30
 -7.1971049226020711E-02 a       331     0    12     1     1
  1.3305491984187057E-01 a       332     0    12     1     2
  1.4383343674649818E-01 a       333     0    12     1     3
 -6.2417844873521711E-01 a       334     0    12     1     4
  1.2876438527535800E-02 a       335     0    12     1     5
 -7.2951138763325624E-02 a       336     0    12     1     6
 -2.8749495084927340E-01 a       337     0    12     1     7
 -2.8111660040682215E-02 a       338     0    12     1     8
 -2.8322101088383489E-01 a       339     0    12     1     9
  2.2019060895059017E-01 a       340     0    12     1    10
 -9.8311136494563481E-02 a       341     0    12     1    11
 -2.6389912307083790E-01 a       342     0    12     1    12
 -1.1041875586071163E-01 a       343     0    12     1    13
  1.7285040929360354E-01 a       344     0    12     1    14
 -3.9766797243784785E-01 a       345     0    12     1    15
  3.6434412374517222E-01 a       346     0    12     1    16
  9.2952531702936200E-02 a       347     0    12     1    17
  2.0639642385419921E-01 a       348     0    12     1    18
 -1.5860308366835447E-02 a       349     0    12     1    19
  4.9963851492152256E-01 a       350     0    12     1    20
  2.4723386516567393E-02 a       351     0    12     1    21
 -2.0546547258404452E-01 a       352     0    12     1    22
 -3.9618623655726248E-01 a       353     0    12     1    23
  3.3672144029071954E-01 a       354     0    12     1    24
  1.8625536771686493E-01 a       355     0    12     1    25
 -2.3394482375983394E-01 a       356     0    12     1    26
  1.0660100706534678E-02 a       357     0    12     1    27
  2.4310969694845941E-01 a       358     0    12     1    28
  2.8550817763074154E-01 a       359     0    12     1    29
 -1.4514461496336194E-03 a       360     0    12     1    30
 -1.0287110102964679E-01 a       361     0    13     1     1
  3.0096006991779317E-01 a       362     0    13     1     2
 -1.2904630873937684E-01 a       363     0    13     1     3
  5.0509156861645665E-01 a       364     0    13     1     4
  3.4021864959043241E-01 a       365     0    13     1     5
 -1.6760131636420314E-01 a       366     0    13     1     6
 -8.5803575995732961E-01 a       367     0    13     1     7
 -1.5415111066704038E-01 a       368     0    13     1     8
  4.0365479495792300E-01 a       369     0    13     1     9
 -4.4098224144016207E-02 a       370     0    13     1    10
  3.9634605818896135E-01 a       371     0    13     1    11
 -1.6949876002017025E-02 a       372     0    13     1    12
  3.5153794579953568E-01 a       373     0    13     1    13
 -1.1121653615819682E+00 a       374     0    13     1    14
  1.5197244036074581E-01 a       375     0    13     1    15
  1.7440638188843404E-02 a       376     0    13     1    16
 -1.8943531478744602E-01 a       377     0    13     1    17
  1.1969166299729322E-03 a       378     0    13     1    18
  1.9155123045723432E-01 a       379     0    13     1    19
 -4.4472461396121998E-01 a       380     0    13     1    20
 -7.7180570998363160E-02 a       381     0    13     1    21
 -1.8463642589736810E-02 a       382     0    13     1    22
 -1.6307105205285521E-01 a       383     0    13     1    23
 -2.6344791376875669E-02 a       384     0    13     1    24
  1.9954878587412569E-01 a       385     0    13     1    25
 -4.7714351215185047E-01 a       386     0    13     1    26
  3.3676758822142543E-02 a       387     0    13     1    27
 -3.0435654769125620E-01 a       388     0    13     1    28
 -3.3785101549920155E-01 a       389     0    13     1    29
 -3.2654848694592475E-01 a       390     0    13     1    30
  9.3247633142138533E-02 a       391     0    14     1     1
  5.1843447083020422E-01 a       392     0    14     1     2
  8.9477046748807632E-01 a       393     0    14     1     3
 -2.0244463866591628E-01 a       394     0    14     1     4
  2.2926570778185593E-01 a       395     0    14     1     5
 -6.4020921571390887E-01 a       396     0    14     1     6
  5.1755456403816680E-01 a       397     0    14     1     7
 -4.2349974377022453E-02 a       398     0    14     1     8
 -1.2236898198808932E-01 a       399     0    14     1     9
  3.3791576884608648E-01 a       400     0    14     1    10
  7.9581990771042732E-01 a       401     0    14     1    11
  1.4512002612612962E-01 a       402     0    14     1    12
  6.7362652721479205E-02 a       403     0    14     1    13
  4.9065146164756185E-01 a       404     0    14     1    14
 -2.8758343805172304E-01 a       405     0    14     1    15
 -4.5095666944155538E-02 a       406     0    14     1    16
 -3.1035858817451828E-01 a       407     0    14     1    17
  2.3431512327998619E-01 a       408     0    14     1    18
 -4.6646803101893641E-01 a       409     0    14     1    19
  3.7832454772972796E-01 a       410     0    14     1    20
  3.2555757630938703E-01 a       411     0    14     1    21
 -2.9956008574415660E-01 a       412     0    14     1    22
 -6.6390051002148776E-01 a       413     0    14     1    23
  2.0308594889565421E-01 a       414     0    14     1    24
  2.6005516371683546E-01 a       415     0    14     1    25
  8.4306606034867643E-02 a       416     0    14     1    26
  7.6726103101043497E-02 a       417     0    14     1    27
  1.7848985869186984E-01 a       418     0    14     1    28
 -4.6949922127250249E-01 a       419     0    14     1    29
  1.7318820140359037E-01 a       420     0    14     1    30
 -4.6374844260248149E-01 a       421     0    15     1     1
