################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.4474698770442356E-01 a       470     0    24     1    10
 -8.1465027274716190E-02 a       471     0    24     1    11
  3.1301498557442470E-01 a       472     0    24     1    12
  3.6083836087778876E-01 a       473     0    24     1    13
  7.0272024979472447E-01 a       474     0    24     1    14
  1.4001171546527613E-01 a       475     0    24     1    15
 -8.6706223268543992E-02 a       476     0    24     1    16
  6.8935987423009704E-01 a       477     0    24     1    17
 -2.8700060641215963E-01 a       478     0    24     1    18
  5.7016849418806770E-01 a       479     0    24     1    19
  1.3574642147938273E-01 a       480     0    24     1    20
  1.0757826250514968E-01 a       481     0    25     1     1
  3.1544397906457405E-01 a       482     0    25     1     2
 -2.0171588023138079E-01 a       483     0    25     1     3
  3.4990299940170122E-01 a       484     0    25     1     4
  5.2120990173694502E-02 a       485     0    25     1     5
 -4.2873135840617760E-01 a       486     0    25     1     6
  3.2849392066711933E-02 a       487     0    25     1     7
  4.5115106925851717E-01 a       488     0    25     1     8
  3.9302658293702403E-01 a       489     0    25     1     9
  1.2564131153483332E-01 a       490     0    25     1    10
  6.6794759843513740E-02 a       491     0    25     1    11
  6.2095286604826369E-02 a       492     0    25     1    12
  3.1219237337691552E-01 a       493     0    25     1    13
  4.6840513706456094E-01 a       494     0    25     1    14
 -9.1599329850378983E-02 a       495     0    25     1    15
 -3.3451450137603894E-02 a       496     0    25     1    16
  3.1939447475584481E-01 a       497     0    25     1    17
  1.1656740206107245E-01 a       498     0    25     1    18
  5.7951025993329519E-01 a       499     0    25     1    19
  4.1727665653051804E-01 a       500     0    25     1    20
 -3.0805692329360734E-01 a       501     0    26     1     1
 -1.6186099508787516E-01 a       502     0    26     1     2
 -1.2250018369037871E-01 a       503     0    26     1     3
  1.0767638508947108E+00 a       504     0    26     1     4
 -1.0207460808761279E+00 a       505     0    26     1     5
  1.4643614555100878E-01 a       506     0    26     1     6
  1.0905013156377044E-01 a       507     0    26     1     7
  4.6892262880028324E-01 a       508     0    26     1     8
 -7.6094894891928624E-02 a       509     0    26     1     9
 -3.4028990509965773E-01 a       510     0    26     1    10
  3.7421459109143662E-01 a       511     0    26     1    11
 -2.7832641644743744E-01 a       512     0    26     1    12
