################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         47   2.8049054067610539E-02   3.9787251996689571E-01   1.1451937169852637E-01   4.0829300706748103E-02
         1         48   2.7819567058409252E-06   5.8306510044047272E-02   9.6947587057360438E-03   5.9401806024195879E-03
         1         49   1.0229364914340936E-03   5.5660551586125290E-02   5.7655426814597543E-03   2.6225415915765494E-03
         1         50   1.3221256481343655E-02   1.3875838525741313E-01   3.1248910630199019E-02   8.0581371914857595E-03
         1         51   2.7524493001165597E-04   1.4953421014523259E-02   2.3725629641374122E-03   4.8179149635086847E-04
         2          1   1.4222616373511957E-01   3.8966352944268956E-01   2.4408099393338117E-01   1.3397823138577170E-02
         2          2   1.3591426871805112E-01   3.7638519013450189E-01   2.3599799895608459E-01   1.2941371815327063E-02
         2          3   1.2295073894078999E-01   3.4855502613735284E-01   2.1907203438706888E-01   1.2069446828854831E-02
         2          4   1.0622375071160849E-01   3.1079950911529586E-01   1.9612038523394135E-01   1.1048328818935072E-02
         2          5   7.0198047627548041E-02   2.2138207702188109E-01   1.4147350284464366E-01   9.0919384583806138E-03
         2          6   1.2930739666943294E-01   3.7701990892895504E-01   2.3688806982941560E-01   1.2865654691022837E-02
         2          7   1.1908408136223517E-01   3.6387977519979581E-01   2.2991341443455129E-01   1.2796079193269338E-02
         2          8   1.0486517864781533E-01   3.4071447184289877E-01   2.1813846408327522E-01   1.3427931765496512E-02
         2          9   7.8879973827563088E-01   4.4766887034494616E+00   2.7314004126353941E+00   6.6373444543491500E-01
         2         10   5.6043521508272923E-02   1.8810088019934819E+00   1.0316641063232095E+00   3.3742646229173551E-01
         2         11   7.0511359252019012E-01   3.6040279932048165E+00   2.1810200780951976E+00   4.9735382127024214E-01
         2         12   2.8908163298065892E-02   1.4440226711582873E+00   7.5678683279161985E-01   2.5222197907763788E-01
         2         13   6.8955366213636418E-03   8.6281022822298670E-01   4.0442552666777754E-01   1.4297548894526912E-01
         2         14   6.8938122629366128E-01   3.2386798041971678E+00   1.9383741327867774E+00   4.1838835185894557E-01
         2         15   5.2702456842913425E-01   1.6695621011650148E+00   9.6992524093272658E-01   1.4946473260022580E-01
         2         16   8.6482689342528445E-04   4.5512332377291065E-01   1.7222713347027269E-01   6.7466576291409674E-02
         2         17   3.3403957994830292E-03   8.8572211082047958E-01   3.8635101387048620E-01   1.4284447066760084E-01
         2         18   1.1509617277567770E-04   2.5719242381017227E-01   7.7080798219984037E-02   3.3403608572423353E-02
         2         19   3.3807286870389419E-01   8.2056519568056641E-01   4.8655389517965841E-01   3.9198095737631285E-02
         2         20   2.2428343704680987E-06   9.2641657484682963E-02   1.6609099428422997E-02   8.7321757287171752E-03
         2         21   1.4523259988894532E-01   3.8470654378997182E-01   2.4740445546419743E-01   1.3626185172887028E-02
         2         22   3.6977674029265085E-02   1.4276624663026943E-01   8.2135713438665950E-02   7.1788386555464963E-03
         2         23   1.6911636422901042E-03   2.0150304915668580E-02   6.3451580737250287E-03   9.8828975527550647E-04
         2         24   1.1008976451958772E-03   3.5186499201488093E-02   4.2681371924704163E-03   1.3106397473348235E-03
         2         25   1.0472086919653411E-03   1.2234286076184542E-02   3.9554248937760409E-03   6.4467850527998949E-04
         2         26   2.9802244500767817E-04   2.4521501055957254E-02   1.8784040125214274E-03   9.5642440529256328E-04
         2         27   6.2100671575494783E-04   8.4332039535786382E-03   2.5139704211133572E-03   4.8178915943436278E-04
         2         28   1.0931744268202656E-02   9.0064272539602003E-02   2.7190833154484617E-02   6.2020841715471004E-03
         2         29   5.0220772539123840E-03   1.5249136158855114E-01   2.6154252705772995E-02   9.4799838473073467E-03
         2         30   4.6400217527492798E-03   5.0266078612203134E-02   1.6491558841849413E-02   3.6028746046518276E-03
         2         31   1.5601809665603753E-03   1.0824447333228716E-01   1.5454978393137791E-02   6.8420354081479085E-03
         2         32   1.9165250420557845E-03   3.3595355854220250E-02   1.0682685278331525E-02   2.4843444580407398E-03
         2         33   3.1673532450123488E-05   9.1634905747429829E-02   2.6526987074134104E-02   1.2510962722135550E-02
         2         34   1.6856784286406137E-16   1.1200289610001012E-02   1.6522492246992696E-03   1.1728570384397332E-03
         2         35   2.5819347933419947E-03   7.7786745737019791E-01   2.8753543279303923E-01   1.2743541162422906E-01
         2         36   4.4394969089132868E-06   8.8485941728672399E-02   2.2257169318630917E-02   1.5357984496082479E-02
         2         37   4.2854589151498203E-03   1.1934305627318768E-01   4.0732435956743328E-02   1.2365908280547669E-02
         2         38   1.6532139574473904E-03   3.7037949484074628E-01   1.1555477983676127E-01   5.3350632226318147E-02
         2         39   1.8584324641057134E-02   2.0221801587429855E-01   6.3778805540694775E-02   1.7915986394596045E-02
         2         40   1.0741285503191522E-05   7.3706054411142391E-02   1.4562830269702056E-02   8.3974745543329236E-03
         2         41   2.9629567645420825E-10   8.4924137939043354E-03   1.0647641965136924E-03   8.8174962394774160E-04
         2         42   9.6087376854134769E-03   3.4627758097539585E-01   8.0390496226024552E-02   3.2439946954072520E-02
         2         43   7.7669427951107878E-05   2.4828267796774967E-01   6.6169039679366312E-02   3.2028896590371489E-02
         2         44   9.7267618763145205E-09   2.1632179603163739E-02   3.0871949844605783E-03   2.5425933972898379E-03
         2         45   7.4268851341631635E-03   6.4410756545276046E-02   1.9821456912549568E-02   3.9548986554791285E-03
         2         46   4.0196568302672733E-03   1.0960478975496954E-01   1.7192996399109244E-02   5.6146499835189601E-03
